"","TeamName","Wins","Losses","Appear","Winning.perc"
"1","BaltimoreColts",1,1,2,0.5
"2","BaltimoreRavens",2,0,2,1
"3","ChicagoBears",1,1,2,0.5
"4","DallasCowboys",5,3,8,0.625
"5","DenverBroncos",2,5,7,0.285714285714286
"6","GreenBayPackers",4,1,5,0.8
"7","IndianapolisColts",1,1,2,0.5
"8","KansasCityChiefs",1,1,2,0.5
"9","LosAngelesRaiders",1,0,1,1
"10","MiamiDolphins",2,3,5,0.4
"11","NewEnglandPatriots",3,4,7,0.428571428571429
"12","NewOrleansSaints",1,0,1,1
"13","NewYorkGiants",4,1,5,0.8
"14","NewYorkJets",1,0,1,1
"15","OaklandRaiders",2,2,4,0.5
"16","PittsburghSteelers",6,2,8,0.75
"17","SanFranciscoers",5,1,6,0.833333333333333
"18","SeattleSeahawks",1,1,2,0.5
"19","StLouisRams",1,1,2,0.5
"20","TampaBayBuccaneers",1,0,1,1
"21","WashingtonRedskins",3,2,5,0.6
"22","ArizonaCardinals",0,1,1,0
"23","AtlantaFalcons",0,1,1,0
"24","BuffaloBills",0,4,4,0
"25","CarolinaPanthers",0,1,1,0
"26","CincinnatiBengals",0,2,2,0
"27","LosAngelesRams",0,1,1,0
"28","MinnesotaVikings",0,4,4,0
"29","PhiladelphiaEagles",0,2,2,0
"30","SanDiegoChargers",0,1,1,0
"31","TennesseeTitans",0,1,1,0
